InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
537666,84459A,PINK METAL CHICKEN HEART ,1,12/7/2010 18:36,3.36,,United Kingdom
537666,84988,SET OF 72 PINK HEART PAPER DOILIES,2,12/7/2010 18:36,2.98,,United Kingdom
537666,22189,CREAM HEART CARD HOLDER,2,12/7/2010 18:36,8.47,,United Kingdom
537764,20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,1,12/8/2010 12:06,3.25,16893,United Kingdom
537765,22480,RED TEA TOWEL CLASSIC DESIGN,1,12/8/2010 12:08,1.25,14606,United Kingdom
537765,22424,ENAMEL BREAD BIN CREAM,1,12/8/2010 12:08,12.75,14606,United Kingdom
537769,22626,BLACK KITCHEN SCALES,1,12/8/2010 12:17,8.5,15021,United Kingdom
537772,20676,RED RETROSPOT BOWL,6,12/8/2010 12:35,1.25,18043,United Kingdom
537772,22551,PLASTERS IN TIN SPACEBOY,1,12/8/2010 12:35,1.65,18043,United Kingdom
537772,21472,LADYBIRD + BEE RAFFIA FOOD COVER,1,12/8/2010 12:35,3.75,18043,United Kingdom
537772,22082,RIBBON REEL STRIPES DESIGN ,5,12/8/2010 12:35,1.65,18043,United Kingdom
537773,21990,MODERN FLORAL STATIONERY SET,1,12/8/2010 12:36,2.95,16016,United Kingdom
537773,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,2,12/8/2010 12:36,2.95,16016,United Kingdom
537781,22736,RIBBON REEL MAKING SNOWMEN ,1,12/8/2010 12:46,1.65,17341,United Kingdom
537781,21896,POTTING SHED TWINE,1,12/8/2010 12:46,2.1,17341,United Kingdom
537789,21069,VINTAGE BILLBOARD TEA MUG,12,12/8/2010 12:49,1.25,14051,United Kingdom
537793,21932,SCANDINAVIAN PAISLEY PICNIC BAG,3,12/8/2010 12:57,2.95,15032,United Kingdom
537794,22750,FELTCRAFT PRINCESS LOLA DOLL,1,12/8/2010 13:01,3.75,16713,United Kingdom
537796,48138,DOORMAT UNION FLAG,6,12/8/2010 13:03,7.95,18061,United Kingdom
C537797,22501,PICNIC BASKET WICKER LARGE,-1,12/8/2010 13:07,8.5,13113,United Kingdom
537804,72127,COLUMBIAN CANDLE ROUND ,14,12/8/2010 13:17,1.25,12748,United Kingdom
537815,22367,CHILDRENS APRON SPACEBOY DESIGN,8,12/8/2010 13:49,1.95,17676,United Kingdom
537818,21531,RED RETROSPOT SUGAR JAM BOWL,6,12/8/2010 13:53,2.55,12766,Portugal
537823,22915,ASSORTED BOTTLE TOP  MAGNETS ,1,12/8/2010 14:25,5.06,,United Kingdom
537823,20719,WOODLAND CHARLOTTE BAG,11,12/8/2010 14:25,1.66,,United Kingdom
537823,21442,GREEN BIRDHOUSE DECORATION,1,12/8/2010 14:25,1.66,,United Kingdom
537823,22081,RIBBON REEL FLORA + FAUNA ,2,12/8/2010 14:25,3.36,,United Kingdom
537823,22190,LOCAL CAFE MUG,1,12/8/2010 14:25,2.51,,United Kingdom
537823,22325,MOBILE VINTAGE HEARTS ,1,12/8/2010 14:25,11.87,,United Kingdom
537825,22644,CERAMIC CHERRY CAKE MONEY BANK,4,12/8/2010 14:36,1.45,15005,United Kingdom
537826,22083,PAPER CHAIN KIT RETROSPOT,1,12/8/2010 14:38,2.95,15581,United Kingdom
537828,22389,PAPERWEIGHT SAVE THE PLANET,6,12/8/2010 14:43,2.55,15680,United Kingdom
537850,22566,FELTCRAFT HAIRBAND PINK AND PURPLE,12,12/8/2010 15:38,0.85,16722,United Kingdom
537852,21819,GLITTER CHRISTMAS STAR ,36,12/8/2010 15:56,0.85,17340,United Kingdom
537858,22158,3 HEARTS HANGING DECORATION RUSTIC,1,12/8/2010 16:06,2.95,,United Kingdom
537859,21123,SET/10 IVORY POLKADOT PARTY CANDLES,5,12/8/2010 16:11,1.25,14030,United Kingdom
537865,21281,VINTAGE KITCHEN PRINT SEAFOOD,6,12/8/2010 16:34,2.55,16011,United Kingdom
537879,22114,HOT WATER BOTTLE TEA AND SYMPATHY,12,12/9/2010 8:34,3.95,14243,United Kingdom
537889,22922,FRIDGE MAGNETS US DINER ASSORTED,12,12/9/2010 10:04,0.85,13319,United Kingdom
537900,22144,CHRISTMAS CRAFT LITTLE FRIENDS,4,12/9/2010 10:45,2.1,15983,United Kingdom
537967,22667,RECIPE BOX RETROSPOT ,6,12/9/2010 11:31,2.95,12494,France
538008,22977,DOLLY GIRL CHILDRENS EGG CUP,12,12/9/2010 12:17,1.25,12683,France
538011,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,2,12/9/2010 12:24,0.85,14896,United Kingdom
538035,22572,ROCKING HORSE GREEN CHRISTMAS ,1,12/9/2010 13:03,0.85,16065,United Kingdom
538037,22502,PICNIC BASKET WICKER SMALL,4,12/9/2010 13:05,5.95,17430,United Kingdom
538053,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,16,12/9/2010 13:34,1.25,15856,United Kingdom
538067,22659,LUNCH BOX I LOVE LONDON,4,12/9/2010 13:59,1.95,15288,United Kingdom
538069,21584,RETROSPOT SMALL TUBE MATCHES,3,12/9/2010 14:08,1.65,16795,United Kingdom
538071,21967,PACK OF 12 SKULL TISSUES,2,12/9/2010 14:09,0.85,,United Kingdom
538071,22355,CHARLOTTE BAG SUKI DESIGN,14,12/9/2010 14:09,1.66,,United Kingdom
538071,22754,SMALL RED BABUSHKA NOTEBOOK ,2,12/9/2010 14:09,1.66,,United Kingdom
538071,85038,6 CHOCOLATE LOVE HEART T-LIGHTS,1,12/9/2010 14:09,4.21,,United Kingdom
538079,22488,NATURAL SLATE RECTANGLE CHALKBOARD,12,12/9/2010 14:27,1.65,17671,United Kingdom
538097,22597,CHRISTMAS MUSICAL ZINC HEART ,12,12/9/2010 14:56,0.85,15192,United Kingdom
538107,20977,36 PENCILS TUBE WOODLAND,16,12/9/2010 15:21,1.25,12826,United Kingdom
538113,22585,PACK OF 6 BIRDY GIFT TAGS,12,12/9/2010 15:29,1.25,15811,United Kingdom
538113,20967,GREY FLORAL FELTCRAFT SHOULDER BAG,8,12/9/2010 15:29,3.75,15811,United Kingdom
538148,22109,FULL ENGLISH BREAKFAST PLATE,1,12/9/2010 16:26,7.62,,United Kingdom
538148,22383,LUNCH BAG SUKI  DESIGN ,2,12/9/2010 16:26,5.06,,United Kingdom
538149,21317,GLASS SPHERE CANDLE STAND MEDIUM,1,12/9/2010 16:27,11.02,,United Kingdom
538153,79067,CORONA MEXICAN TRAY,1,12/9/2010 16:31,7.62,,United Kingdom
538155,21905,MORE BUTTER METAL SIGN ,1,12/9/2010 16:52,2.1,16907,United Kingdom
538155,85150,LADIES & GENTLEMEN METAL SIGN,3,12/9/2010 16:52,2.55,16907,United Kingdom
538156,20761,BLUE PAISLEY SKETCHBOOK,3,12/9/2010 16:53,3.75,15555,United Kingdom
538163,20735,BLACK MINI TAPE MEASURE ,1,12/9/2010 17:27,0.85,17841,United Kingdom
538177,21716,BOYS VINTAGE TIN SEASIDE BUCKET,1,12/10/2010 9:51,5.06,,United Kingdom
538177,22113,GREY HEART HOT WATER BOTTLE,1,12/10/2010 9:51,7.62,,United Kingdom
538177,46776C,WOVEN FROST CUSHION COVER,1,12/10/2010 9:51,4.21,,United Kingdom
538180,22551,PLASTERS IN TIN SPACEBOY,24,12/10/2010 9:53,1.65,13418,United Kingdom
538190,22470,HEART OF WICKER LARGE,6,12/10/2010 10:47,2.95,17790,United Kingdom
538198,20755,BLUE PAISLEY POCKET BOOK,3,12/10/2010 11:01,0.85,17827,United Kingdom
538209,22617,BAKING SET SPACEBOY DESIGN,2,12/10/2010 11:42,4.95,12748,United Kingdom
538216,21261,GREEN GOOSE FEATHER CHRISTMAS TREE ,2,12/10/2010 11:51,16.95,14543,United Kingdom
538268,84375,SET OF 20 KIDS COOKIE CUTTERS,12,12/10/2010 12:45,1.95,18065,United Kingdom
538308,21967,PACK OF 12 SKULL TISSUES,24,12/10/2010 13:29,0.29,14107,United Kingdom
538312,22739,RIBBON REEL CHRISTMAS SOCK BAUBLE,5,12/10/2010 13:48,1.65,16727,United Kingdom
538313,22131,FOOD CONTAINER SET 3 LOVE HEART ,1,12/10/2010 13:50,1.95,15514,United Kingdom
538343,21169,YOU'RE CONFUSING ME METAL SIGN ,12,12/10/2010 14:29,1.69,13448,United Kingdom
538349,21262,WHITE GOOSE FEATHER CHRISTMAS TREE ,2,12/10/2010 14:59,7.62,,United Kingdom
538349,21741,COSY SLIPPER SHOES LARGE GREEN,1,12/10/2010 14:59,5.91,,United Kingdom
538349,22317,FIVE CATS HANGING DECORATION,1,12/10/2010 14:59,5.91,,United Kingdom
538351,22378,WALL TIDY RETROSPOT ,4,12/10/2010 15:17,5.06,,United Kingdom
538351,84997d,PINK 3 PIECE POLKADOT CUTLERY SET,1,12/10/2010 15:17,8.47,,United Kingdom
538354,22826,LOVE SEAT ANTIQUE WHITE METAL,2,12/10/2010 15:45,175,16873,United Kingdom
538364,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,12/10/2010 17:26,1.95,14448,United Kingdom
538369,90190C,SILVER/AMETHYST DROP EARRINGS LEAF,1,12/12/2010 11:06,2.95,17251,United Kingdom
538374,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/12/2010 11:17,2.95,14159,United Kingdom
538378,84050,PINK HEART SHAPE EGG FRYING PAN,6,12/12/2010 11:26,1.65,14577,United Kingdom
538418,85084,HOLLY TOP CHRISTMAS STOCKING,4,12/12/2010 12:00,0.85,17372,United Kingdom
538497,21327,SKULLS WRITING SET ,2,12/12/2010 12:44,1.65,14684,United Kingdom
538507,22227,HANGING HEART MIRROR DECORATION ,18,12/12/2010 13:26,0.65,15547,United Kingdom
538508,20685,DOORMAT RED RETROSPOT,1,12/12/2010 13:32,7.95,15998,United Kingdom
538508,70006,LOVE HEART POCKET WARMER,4,12/12/2010 13:32,1.65,15998,United Kingdom
